name,imageUrl,city,state,zipcode,country,rating,starRating
MARRIOTT ORLANDO DOWNTOWN,https://cache.marriott.com/marriottassets/marriott/MCODO/mcodo-exterior-1394-hor-feat.jpg?resize=750:450&output-quality=1,Orlando,Florida,32801,United States,3.8,3
Marriott's Harbour Lake,https://cache.marriott.com/marriottassets/marriott/MCOHO/mcoho-pool-0042-hor-feat.jpg?resize=750:450&output-quality=1,Orlando,Florida,32821,United States,4.2,4
Fremont Marriott Silicon Valley,https://cache.marriott.com/marriottassets/marriott/SJCFM/sjcfm-exterior-0090-hor-feat.jpg?resize=750:450&output-quality=1,Fremont,California,94538,United States,4.3,3
Marriott Vacation Club Pulse,https://cache.marriott.com/marriottassets/marriott/SFOVM/sfovm-exterior-5006-hor-feat.jpg?resize=750:450&output-quality=1,San Francisco,California ,94133,United States,3.8,5
New York Marriott Marquis,https://cache.marriott.com/marriottassets/marriott/NYCMQ/nycmq-exterior-0166-hor-feat.jpg?resize=750:450&output-quality=1,New York,New York,10036,United States,4.2,4
"Princeton Marriott at Forrestal
",https://cache.marriott.com/marriottassets/marriott/TTNDF/ttndf-exterior-0041-hor-feat.jpg?resize=750:450&output-quality=1,Princeton,New Jersey,8540,United States,4.4,3
Marriott Dallas Uptown,https://cache.marriott.com/marriottassets/marriott/DALMU/dalmu-pool-deck-7898-hor-feat.jpg?resize=750:450&output-quality=1,Dallas,Texas,75201,United States,4.3,4
Marriott Dallas/Fort Worth Westlake,https://cache.marriott.com/marriottassets/marriott/DALWL/dalwl-outdoor-0338-hor-feat.jpg?resize=750:450&output-quality=1,WestLake,Texas,76262,United States,4.3,3
Marriott's Villas at Doral,https://cache.marriott.com/marriottassets/marriott/MIADA/miada-exterior-0034-hor-feat.jpg?resize=750:450&output-quality=1,Miami,Florida,33178,United States,4,4
Atlanta Marriott Marquis,https://cache.marriott.com/marriottassets/marriott/ATLMQ/atlmq-exterior-0154-hor-feat.jpg?resize=750:450&output-quality=1,Atlanta ,Georgia,30303,United States,3.8,5
Washington Marriott at Marriott Center,https://cache.marriott.com/marriottassets/marriott/WASMC/wasmc-exterior-7223-hor-feat.jpg?resize=750:450&output-quality=1,Washington,Washinton,20005,United States,4.4,5
